trip_id,start_date,route_id,train_id,direction,current_stop_sequence,current_status,timestamp,stop_id,message_timestamp
120000_2..N01R,20200106,2,02 2000  FLA/241,1,3,2,1578358708,245N,1578359540
112950_3..S01R,20200106,3,03 1849+ 148/NLT,3,34,1,1578358677,257S,1578359540
113100_3..N01R,20200106,3,03 1851  NLT/148,1,34,0,1578358705,301N,1578359540
113650_3..S01R,20200106,3,03 1856+ 148/NLT,3,29,1,1578358709,252S,1578359540
113950_3..N01R,20200106,3,03 1859+ NLT/148,1,33,0,1578358706,302N,1578359540
114450_3..S01R,20200106,3,03 1904+ 148/NLT,3,27,1,1578358658,250S,1578359540
114650_3..N01R,20200106,3,03 1906+ NLT/148,1,27,1,1578358698,123N,1578359540
115250_3..S01R,20200106,3,03 1912+ 148/NLT,3,24,2,1578358689,239S,1578359540
115550_3..N01R,20200106,3,03 1915+ NLT/148,1,24,2,1578358702,132N,1578359540
116050_3..S01R,20200106,3,03 1920+ 148/NLT,3,20,1,1578358706,235S,1578359540
116250_3..N01R,20200106,3,03 1922+ NLT/148,1,21,1,1578358663,229N,1578359540
116800_3..S01R,20200106,3,03 1928  148/NLT,3,16,2,1578358713,231S,1578359540
117050_3..N01R,20200106,3,03 1930+ NLT/148,1,19,1,1578358713,231N,1578359540
117450_3..S01R,20200106,3,03 1934+ 148/NLT,3,11,1,1578358689,132S,1578359540
117950_3..N01R,20200106,3,03 1939+ NLT/148,1,13,1,1578358686,237N,1578359540
118200_3..S01R,20200106,3,03 1942  148/NLT,3,9,1,1578358665,127S,1578359540
118750_3..N01R,20200106,3,03 1947+ NLT/148,1,9,1,1578358689,249N,1578359540
118900_3..S01R,20200106,3,03 1949  148/NLT,3,7,1,1578358672,120S,1578359540
119600_3..S01R,20200106,3,03 1956  148/NLT,3,3,2,1578358703,224S,1578359540
119750_3..N01R,20200106,3,03 1957+ NLT/148,1,4,2,1578358711,254N,1578359540
113100_4..S06R,20200106,4,04 1851  WDL/UTI,3,28,2,1578358713,250S,1578359540
113700_4..N06R,20200106,4,04 1857  UTI/WDL,1,25,1,1578358666,406N,1578359540
113700_4..S06R,20200106,4,04 1857  WDL/UTI,3,27,1,1578358688,239S,1578359540
114300_4..N,20200106,4,04 1903  UTI/WDL,1,19,2,1578358710,409N,1578359540
114300_4..S06R,20200106,4,04 1903  WDL/UTI,3,24,1,1578358671,423S,1578359540
114900_4..S06R,20200106,4,04 1909  WDL/UTI,3,24,2,1578358712,423S,1578359540
115500_4..S06R,20200106,4,04 1915  WDL/UTI,3,21,2,1578358708,418S,1578359540
115700_4..N06R,20200106,4,04 1917  UTI/WDL,1,14,1,1578358645,621N,1578359540
116100_4..S06R,20200106,4,04 1921  WDL/UTI,3,19,1,1578358702,635S,1578359540
116200_4..N06R,20200106,4,04 1922  UTI/WDL,1,14,2,1578358698,621N,1578359540
116700_4..S06R,20200106,4,04 1927  WDL/UTI,3,17,2,1578358706,629S,1578359540
116800_4..N43R,20200106,4,04 1928  UTI/BUR,1,12,0,1578358700,629N,1578359540
117250_4..S06R,20200106,4,04 1932+ WDL/UTI,3,16,2,1578358709,626S,1578359540
117550_4..N06R,20200106,4,04 1935+ UTI/WDL,1,10,2,1578358714,635N,1578359540
117850_4..S06R,20200106,4,04 1938+ WDL/UTI,3,13,2,1578358705,415S,1578359540
117950_4..N06R,20200106,4,04 1939+ UTI/WDL,1,8,0,1578358699,418N,1578359540
118550_4..S06R,20200106,4,04 1945+ WDL/UTI,3,6,1,1578358675,408S,1578359540
118950_4..N06R,20200106,4,04 1949+ UTI/WDL,1,3,2,1578358702,235N,1578359540
119350_4..N06R,20200106,4,04 1953+ UTI/WDL,1,3,2,1578358705,235N,1578359540
119350_4..S06R,20200106,4,04 1953+ WDL/UTI,3,5,2,1578358713,407S,1578359540
119950_4..N06R,20200106,4,04 1959+ UTI/WDL,1,1,1,1578358526,250N,1578359540
111350_5..N74R,20200106,5X,05 1833+ FLA/DYR,1,29,2,1578358714,501N,1578359540
111500_5..S03R,20200106,5,05 1835  DYR/FLA,3,33,1,1578358661,244S,1578359540
112200_5..N74R,20200106,5X,05 1842  FLA/DYR,1,26,1,1578358467,504N,1578359540
112500_5..S03R,20200106,5,05 1845  DYR/FLA,3,31,1,1578358693,242S,1578359540
113200_5..S03R,20200106,5,05 1852  DYR/FLA,3,28,1,1578358713,235S,1578359540
113300_5..N74R,20200106,5X,05 1853  FLA/DYR,1,25,2,1578358714,505N,1578359540
114200_5..S03R,20200106,5,05 1902  DYR/FLA,3,24,1,1578358702,419S,1578359540
114550_5..N71R,20200106,5,05 1905+ FLA/DYR,1,24,1,1578358707,220N,1578359540
114850_5..S07R,20200106,5,05 1908+ DYR/UTI,3,22,2,1578358706,640S,1578359540
115600_5..S07R,20200106,5,05 1916  DYR/UTI,3,19,1,1578358667,629S,1578359540
115700_5..N71R,20200106,5,05 1917  FLA/DYR,1,20,2,1578358706,621N,1578359540
116300_5..N71R,20200106,5,05 1923  FLA/DYR,1,17,2,1578358707,631N,1578359540
116650_5..S07R,20200106,5,05 1926+ DYR/UTI,3,18,2,1578358707,626S,1578359540
117500_5..N71R,20200106,5,05 1935  FLA/DYR,1,12,2,1578358702,420N,1578359540
117850_5..S07R,20200106,5,05 1938+ DYR/UTI,3,12,1,1578358678,219S,1578359540
118300_5..N71R,20200106,5,05 1943  FLA/DYR,1,9,1,1578358696,235N,1578359540
118800_5..S08R,20200106,5,05 1948  DYR/BWG,3,6,1,1578358680,213S,1578359540
118900_5..N71R,20200106,5,05 1949  FLA/DYR,1,8,0,1578358707,239N,1578359540
113900_6..S01R,20200106,6,06 1859  PEL/BBR,3,36,1,1578358674,638S,1578359540
114000_6..N02R,20200106,6X,06 1900  BBR/PEL,1,28,1,1578358684,602N,1578359540
114600_6..S01R,20200106,6,06 1906  PEL/BBR,3,33,1,1578358697,635S,1578359540
114800_6..N02R,20200106,6X,06 1908  BBR/PEL,1,25,0,1578358712,606N,1578359540
115100_6..S01R,20200106,6,06 1911  PEL/BBR,3,29,1,1578358652,631S,1578359540
115300_6..S03R,20200106,6,06 1913  177/BBR,3,29,1,1578358713,637S,1578359540
115600_6..N03R,20200106,6,06 1916  BBR/177,1,27,1,1578358711,613N,1578359540
115800_6..N01R,20200106,6,06 1918  BBR/PEL,1,26,2,1578358712,614N,1578359540
116100_6..S01R,20200106,6,06 1921  PEL/BBR,3,24,0,1578358712,626S,1578359540
116400_6..N01R,20200106,6,06 1924  BBR/PEL,1,22,2,1578358711,618N,1578359540
116600_6..S01R,20200106,6,06 1926  PEL/BBR,3,21,1,1578358703,623S,1578359540
116750_6..S03R,20200106,6,06 1927+ 177/BBR,3,21,2,1578358710,629S,1578359540
116800_6..N02R,20200106,6X,06 1928  BBR/PEL,1,20,1,1578358568,621N,1578359540
117100_6..S01R,20200106,6,06 1931  PEL/BBR,3,18,1,1578358701,619S,1578359540
117200_6..N01R,20200106,6,06 1932  BBR/PEL,1,19,2,1578358711,622N,1578359540
117600_6..N01R,20200106,6,06 1936  BBR/PEL,1,16,1,1578358713,625N,1578359540
117700_6..S01R,20200106,6,06 1937  PEL/BBR,3,16,2,1578358707,617S,1578359540
118000_6..N02R,20200106,6X,06 1940  BBR/PEL,1,13,1,1578358672,628N,1578359540
118100_6..S01R,20200106,6,06 1941  PEL/BBR,3,12,1,1578358691,613S,1578359540
118450_6..N01R,20200106,6,06 1944+ BBR/PEL,1,11,1,1578358697,630N,1578359540
118650_6..S01R,20200106,6,06 1946+ PEL/BBR,3,10,1,1578358689,611S,1578359540
118900_6..N02R,20200106,6X,06 1949  BBR/PEL,1,7,1,1578358668,634N,1578359540
119300_6..S01R,20200106,6,06 1953  PEL/BBR,3,5,0,1578358705,606S,1578359540
119350_6..N03R,20200106,6,06 1953+ BBR/177,1,5,1,1578358679,636N,1578359540
119700_6..S01R,20200106,6,06 1957  PEL/BBR,3,2,1,1578358698,602S,1578359540
119800_6..N02R,20200106,6X,06 1958  BBR/PEL,1,2,2,1578358711,639N,1578359540
120250_6..N01R,20200106,6,06 2002+ BBR/PEL,1,1,0,1578358699,640N,1578359540
119750_GS.S04R,20200106,GS,0S 1957+ TSS/GCS,3,2,0,1578358712,901S,1578359540
119800_GS.N03R,20200106,GS,0S 1958  GCS/TSS,1,2,0,1578358710,902N,1578359540
111000_1..N03R,20200106,1,01 1830  SFT/242,1,37,1,1578356897,103N,1578359540
111400_1..N03R,20200106,1,01 1834  SFT/242,1,36,1,1578356898,104N,1578359540
111800_1..N03R,20200106,1,01 1838  SFT/242,1,35,1,1578357117,106N,1578359540
114250_1..S03R,20200106,1,01 1902+ 242/SFT,3,38,1,1578358680,142S,1578359540
114650_1..S03R,20200106,1,01 1906+ 242/SFT,3,35,2,1578358742,137S,1578359540
114800_1..N03R,20200106,1,01 1908  SFT/242,1,32,1,1578358717,109N,1578359540
115050_1..S03R,20200106,1,01 1910+ 242/SFT,3,33,1,1578358708,135S,1578359540
115450_1..S03R,20200106,1,01 1914+ 242/SFT,3,32,0,1578358744,134S,1578359540
115450_1..N03R,20200106,1,01 1914+ SFT/242,1,30,1,1578358705,111N,1578359540
115900_1..S03R,20200106,1,01 1919  242/SFT,3,28,1,1578358714,130S,1578359540
115900_1..N03R,20200106,1,01 1919  SFT/242,1,28,2,1578358733,113N,1578359540
116350_1..S03R,20200106,1,01 1923+ 242/SFT,3,24,1,1578358709,126S,1578359540
116350_1..N03R,20200106,1,01 1923+ SFT/242,1,26,1,1578358698,115N,1578359540
116700_1..S03R,20200106,1,01 1927  242/SFT,3,22,1,1578358713,124S,1578359540
116800_1..N03R,20200106,1,01 1928  SFT/242,1,21,2,1578358718,120N,1578359540
117250_1..S03R,20200106,1,01 1932+ 242/SFT,3,19,1,1578358721,121S,1578359540
117250_1..N03R,20200106,1,01 1932+ SFT/242,1,20,0,1578358722,121N,1578359540
117700_1..N03R,20200106,1,01 1937  SFT/242,1,18,2,1578358740,123N,1578359540
118150_1..S03R,20200106,1,01 1941+ 242/SFT,3,14,2,1578358743,116S,1578359540
118150_1..N03R,20200106,1,01 1941+ SFT/242,1,14,1,1578358740,127N,1578359540
118600_1..S03R,20200106,1,01 1946  242/SFT,3,10,2,1578358744,112S,1578359540
118600_1..N03R,20200106,1,01 1946  SFT/242,1,11,1,1578358698,130N,1578359540
119050_1..S03R,20200106,1,01 1950+ 242/SFT,3,7,1,1578358727,109S,1578359540
119050_1..N03R,20200106,1,01 1950+ SFT/242,1,8,2,1578358740,133N,1578359540
119500_1..N03R,20200106,1,01 1955  SFT/242,1,4,1,1578358704,137N,1578359540
119750_1..S03R,20200106,1,01 1957+ 242/SFT,3,3,2,1578358744,104S,1578359540
110050_2..N01R,20200106,2,02 1820+ FLA/241,1,49,0,1578358738,201N,1578359540
110550_2..N01R,20200106,2,02 1825+ FLA/241,1,48,1,1578358700,204N,1578359540
110800_2..S01R,20200106,2,02 1828  241/FLA,3,49,2,1578358734,247S,1578359540
111100_2..N01R,20200106,2,02 1831  FLA/241,1,44,2,1578358741,208N,1578359540
111550_2..S01R,20200106,2,02 1835+ 241/FLA,3,43,2,1578358743,241S,1578359540
111550_2..N01R,20200106,2,02 1835+ FLA/241,1,41,1,1578358713,211N,1578359540
112250_2..S01R,20200106,2,02 1842+ 241/FLA,3,40,0,1578358743,237S,1578359540
112450_2..N01R,20200106,2,02 1844+ FLA/241,1,39,1,1578358738,213N,1578359540
112950_2..S01R,20200106,2,02 1849+ 241/FLA,3,34,1,1578358716,231S,1578359540
113100_2..N01R,20200106,2,02 1851  FLA/241,1,36,2,1578358734,216N,1578359540
113500_2..S01R,20200106,2,02 1855  241/FLA,3,31,1,1578358707,228S,1578359540
113850_2..N01R,20200106,2,02 1858+ FLA/241,1,34,0,1578358739,218N,1578359540
114150_2..S01R,20200106,2,02 1901+ 241/FLA,3,30,2,1578358742,137S,1578359540
114700_2..N01R,20200106,2,02 1907  FLA/241,1,25,0,1578358739,120N,1578359540
114900_2..S01R,20200106,2,02 1909  241/FLA,3,27,2,1578358739,127S,1578359540
115300_2..N01R,20200106,2,02 1913  FLA/241,1,24,2,1578358732,123N,1578359540
115750_2..S01R,20200106,2,02 1917+ 241/FLA,3,25,2,1578358739,120S,1578359540
115900_2..N01R,20200106,2,02 1919  FLA/241,1,24,2,1578358728,123N,1578359540
116450_2..S01R,20200106,2,02 1924+ 241/FLA,3,22,2,1578358741,225S,1578359540
116500_2..N01R,20200106,2,02 1925  FLA/241,1,20,1,1578358718,137N,1578359540
117150_2..S01R,20200106,2,02 1931+ 241/FLA,3,20,0,1578358738,222S,1578359540
117300_2..N01R,20200106,2,02 1933  FLA/241,1,17,1,1578358710,230N,1578359540
117850_2..S01R,20200106,2,02 1938+ 241/FLA,3,11,2,1578358740,213S,1578359540
118050_2..N01R,20200106,2,02 1940+ FLA/241,1,14,1,1578358714,233N,1578359540
118550_2..S01R,20200106,2,02 1945+ 241/FLA,3,10,1,1578358738,212S,1578359540
118700_2..N01R,20200106,2,02 1947  FLA/241,1,9,2,1578358725,238N,1578359540
119250_2..S01R,20200106,2,02 1952+ 241/FLA,3,8,2,1578358733,210S,1578359540
119250_2..N01R,20200106,2,02 1952+ FLA/241,1,7,1,1578358715,241N,1578359540
120000_2..N01R,20200106,2,02 2000  FLA/241,1,3,1,1578358723,245N,1578359540
113100_3..N01R,20200106,3,03 1851  NLT/148,1,34,1,1578358732,301N,1578359540
113650_3..S01R,20200106,3,03 1856+ 148/NLT,3,29,1,1578358709,252S,1578359540
113950_3..N01R,20200106,3,03 1859+ NLT/148,1,33,0,1578358734,302N,1578359540
114450_3..S01R,20200106,3,03 1904+ 148/NLT,3,27,1,1578358658,250S,1578359540
114650_3..N01R,20200106,3,03 1906+ NLT/148,1,27,1,1578358698,123N,1578359540
115250_3..S01R,20200106,3,03 1912+ 148/NLT,3,24,1,1578358730,239S,1578359540
115550_3..N01R,20200106,3,03 1915+ NLT/148,1,24,2,1578358741,132N,1578359540
116050_3..S01R,20200106,3,03 1920+ 148/NLT,3,20,1,1578358706,235S,1578359540
116250_3..N01R,20200106,3,03 1922+ NLT/148,1,22,2,1578358737,228N,1578359540
116800_3..S01R,20200106,3,03 1928  148/NLT,3,16,2,1578358742,231S,1578359540
117050_3..N01R,20200106,3,03 1930+ NLT/148,1,19,1,1578358713,231N,1578359540
117450_3..S01R,20200106,3,03 1934+ 148/NLT,3,12,2,1578358743,137S,1578359540
117950_3..N01R,20200106,3,03 1939+ NLT/148,1,14,2,1578358740,236N,1578359540
118200_3..S01R,20200106,3,03 1942  148/NLT,3,10,2,1578358737,128S,1578359540
118750_3..N01R,20200106,3,03 1947+ NLT/148,1,10,2,1578358737,248N,1578359540
118900_3..S01R,20200106,3,03 1949  148/NLT,3,8,2,1578358723,123S,1578359540
119600_3..S01R,20200106,3,03 1956  148/NLT,3,3,2,1578358743,224S,1578359540
119750_3..N01R,20200106,3,03 1957+ NLT/148,1,4,0,1578358737,254N,1578359540
113100_4..S06R,20200106,4,04 1851  WDL/UTI,3,28,2,1578358744,250S,1578359540
113700_4..N06R,20200106,4,04 1857  UTI/WDL,1,26,2,1578358732,405N,1578359540
113700_4..S06R,20200106,4,04 1857  WDL/UTI,3,27,1,1578358688,239S,1578359540
114300_4..N,20200106,4,04 1903  UTI/WDL,1,19,1,1578358723,409N,1578359540
114300_4..S06R,20200106,4,04 1903  WDL/UTI,3,25,2,1578358741,234S,1578359540
114900_4..S06R,20200106,4,04 1909  WDL/UTI,3,24,2,1578358743,423S,1578359540
115500_4..S06R,20200106,4,04 1915  WDL/UTI,3,21,0,1578358737,418S,1578359540
115700_4..N06R,20200106,4,04 1917  UTI/WDL,1,15,2,1578358727,416N,1578359540
116100_4..S06R,20200106,4,04 1921  WDL/UTI,3,19,1,1578358702,635S,1578359540
116200_4..N06R,20200106,4,04 1922  UTI/WDL,1,14,2,1578358728,621N,1578359540
116700_4..S06R,20200106,4,04 1927  WDL/UTI,3,17,2,1578358732,629S,1578359540
116800_4..N43R,20200106,4,04 1928  UTI/BUR,1,12,1,1578358719,629N,1578359540
117250_4..S06R,20200106,4,04 1932+ WDL/UTI,3,16,2,1578358739,626S,1578359540
117550_4..N06R,20200106,4,04 1935+ UTI/WDL,1,10,1,1578358741,635N,1578359540
117850_4..S06R,20200106,4,04 1938+ WDL/UTI,3,13,1,1578358734,415S,1578359540
117950_4..N06R,20200106,4,04 1939+ UTI/WDL,1,8,1,1578358719,418N,1578359540
118550_4..S06R,20200106,4,04 1945+ WDL/UTI,3,7,2,1578358741,409S,1578359540
118950_4..N06R,20200106,4,04 1949+ UTI/WDL,1,3,2,1578358744,235N,1578359540
119350_4..N06R,20200106,4,04 1953+ UTI/WDL,1,3,2,1578358705,235N,1578359540
119350_4..S06R,20200106,4,04 1953+ WDL/UTI,3,5,1,1578358742,407S,1578359540
119950_4..N06R,20200106,4,04 1959+ UTI/WDL,1,1,1,1578358526,250N,1578359540
111350_5..N74R,20200106,5X,05 1833+ FLA/DYR,1,29,2,1578358736,501N,1578359540
111500_5..S03R,20200106,5,05 1835  DYR/FLA,3,34,0,1578358741,245S,1578359540
112200_5..N74R,20200106,5X,05 1842  FLA/DYR,1,27,2,1578358744,503N,1578359540
112500_5..S03R,20200106,5,05 1845  DYR/FLA,3,32,2,1578358743,243S,1578359540
113200_5..S03R,20200106,5,05 1852  DYR/FLA,3,28,1,1578358713,235S,1578359540
113300_5..N74R,20200106,5X,05 1853  FLA/DYR,1,25,2,1578358738,505N,1578359540
114200_5..S03R,20200106,5,05 1902  DYR/FLA,3,24,1,1578358702,419S,1578359540
114550_5..N71R,20200106,5,05 1905+ FLA/DYR,1,24,1,1578358707,220N,1578359540
114850_5..S07R,20200106,5,05 1908+ DYR/UTI,3,22,2,1578358741,640S,1578359540
115600_5..S07R,20200106,5,05 1916  DYR/UTI,3,20,2,1578358720,631S,1578359540
115700_5..N71R,20200106,5,05 1917  FLA/DYR,1,20,2,1578358741,621N,1578359540
116300_5..N71R,20200106,5,05 1923  FLA/DYR,1,17,2,1578358738,631N,1578359540
116650_5..S07R,20200106,5,05 1926+ DYR/UTI,3,18,1,1578358732,626S,1578359540
117500_5..N71R,20200106,5,05 1935  FLA/DYR,1,12,0,1578358740,420N,1578359540
117850_5..S07R,20200106,5,05 1938+ DYR/UTI,3,13,0,1578358742,220S,1578359540
118300_5..N71R,20200106,5,05 1943  FLA/DYR,1,9,1,1578358696,235N,1578359540
118800_5..S08R,20200106,5,05 1948  DYR/BWG,3,7,2,1578358734,214S,1578359540
118900_5..N71R,20200106,5,05 1949  FLA/DYR,1,8,0,1578358735,239N,1578359540
113900_6..S01R,20200106,6,06 1859  PEL/BBR,3,37,0,1578358741,639S,1578359540
114000_6..N02R,20200106,6X,06 1900  BBR/PEL,1,29,2,1578358742,601N,1578359540
114600_6..S01R,20200106,6,06 1906  PEL/BBR,3,33,1,1578358697,635S,1578359540
114800_6..N02R,20200106,6X,06 1908  BBR/PEL,1,25,1,1578358733,606N,1578359540
115100_6..S01R,20200106,6,06 1911  PEL/BBR,3,29,1,1578358652,631S,1578359540
115300_6..S03R,20200106,6,06 1913  177/BBR,3,29,1,1578358713,637S,1578359540
115600_6..N03R,20200106,6,06 1916  BBR/177,1,27,1,1578358711,613N,1578359540
115800_6..N01R,20200106,6,06 1918  BBR/PEL,1,26,2,1578358739,614N,1578359540
116100_6..S01R,20200106,6,06 1921  PEL/BBR,3,24,1,1578358714,626S,1578359540
116400_6..N01R,20200106,6,06 1924  BBR/PEL,1,22,1,1578358723,618N,1578359540
116600_6..S01R,20200106,6,06 1926  PEL/BBR,3,21,1,1578358703,623S,1578359540
116750_6..S03R,20200106,6,06 1927+ 177/BBR,3,21,1,1578358723,629S,1578359540
116800_6..N02R,20200106,6X,06 1928  BBR/PEL,1,20,1,1578358568,621N,1578359540
117100_6..S01R,20200106,6,06 1931  PEL/BBR,3,18,1,1578358701,619S,1578359540
117200_6..N01R,20200106,6,06 1932  BBR/PEL,1,19,1,1578358725,622N,1578359540
117600_6..N01R,20200106,6,06 1936  BBR/PEL,1,16,1,1578358713,625N,1578359540
117700_6..S01R,20200106,6,06 1937  PEL/BBR,3,16,0,1578358736,617S,1578359540
